"","date","dist","m20","m25","m30","m35","m40","m45","m50","m55","f20","f25","f30","f35","f40","f45","f50","f55"
"1808","20180218",1125073030007,301,45.4277543648404,-198.793648404576,-201.827212522577,-326.921884406984,-361.515201685731,32.1484045755569,-242.73254063817,-8,-79,70,107,284,-287,-220,-213
"1809","20180224",1102052020001,73,492.90999397953,859.311860325105,626.098133654425,632.228627332932,346.799518362432,92.5653220951234,249.417971101746,430,478,830.5,482,525,478,528.5,742
"1810","20180224",1108068010002,259,163.724377533295,90.5084566596194,-299.609785563274,-364.616640217638,-360.454712874602,-103.977193538169,-17.6222791293214,-633,-146,-195,-484,-395,-505,-326,-357
"1811","20180224",1109071040006,48,-125.111830222757,-344.657237936772,-319.460716435882,-197.163455749548,-107.193708609272,-299.218543046358,-120.230514096186,-214,-236,-188,-108,1,-11,20,3
"1812","20180224",1111066030001,500.5,175.520469596629,-60.7346478025286,-205.049066827213,-355.593467790488,-76.6995785671282,-156.764298615292,-153.158338350391,823.5,-80,32,39,-178,167,221,211
"1813","20180224",1113075030009,-257,-279.682570740518,103.511589403974,-228.389674894642,-237.611679711018,-242.631095725467,-266.502593044539,-191.237357013847,148,-617,103.5,28.5,-278.5,-431,-363,-247
"1814","20180224",1115051010002,-88,-58.5722689075631,-405.42700729927,NA,38.8162251655629,-51.3940397350993,137.475165562914,229.533112582781,-351,NA,-387,40,-298,86,305,276
"1815","20180224",1117051030002,48,-614.115299334812,-674.771207053816,-413.032209512342,-542.830721003135,-224.306693306693,-217.821538461538,-209.741532976827,-239,-871,-810,-665,-627,-74,71,-433
"1816","20180224",1119074050006,-129,-271.651264298615,-476.438290186635,-581.457555689344,-601.720800722456,-633.335189644792,-384.537928958459,-415.46357615894,55,52,-115,-177,-98,-102,-92,-192
"1817","20180224",1121052010001,577,-200.247042919905,-448.09781707654,-521.422449345526,-306.07833655706,-369.327677893138,4.78585147247119,8.93839541547277,-201,-545,-301.5,-152,-22,-45,22,-59
"1818","20180224",1122060020102,30,-101.55418422637,-245.044551475015,-379.385761589404,-405.804635761589,-465.867098133654,-285.89238410596,-76.2438290186634,80,-21,-85,-249,-220,-166,-110,-109.5
"1819","20180224",1123051010203,-192,-424.142013498313,-375.981313131313,-550.445234011272,-290.200431034483,-112.602819237148,-38.265,-165.823399558499,-699,-798,-655.5,-563,236,204,-129,-52
"1820","20180224",1123058040001,-21,-100.377934978928,-271.966586393739,-178.686634557495,-198.558850090307,-68.5058699578567,-44.9319686935581,49.4676399759181,-82,-325,-110,-28,31,-23,125,190
"1821","20180224",1123063020012,54,333.804635761589,48.7334437086093,-44.0455298013245,-14.8353568800589,-55.0350993377484,289.285241248817,85.9503311258278,-267,275,26,357,-165,-204.5,-104.5,217
"1822","20180224",1124077030001,932,2054.71056592414,1264.51670680313,1163.1395243829,547.244882600843,239.986303431668,15.7832630945213,-16.4372366044552,2158,2279,1749,1512,821,363,356,217
"1823","20180224",1124080020103,110,108.427302829621,46.4947320891029,561.808097531607,581.783263094521,287.630493678507,9.18919325707407,112.406080674293,659.5,622,1028,1464,1071,811,709,739.5
"1824","20180224",1125073030007,474,136.700481637568,-257.066375677303,-228.281757977122,-183.740066225166,40.939343768814,33.239313666466,-174.73254063817,183,13,113,-293,251,-276,-265,-270
"1825","20180225",1102052020001,-14,638.00090307044,717.311860325105,563.461770018061,341.046809151114,117.98133654425,-109.161950632149,-150.854756170981,417,702,246.5,451,180,220,169.5,269
"1826","20180225",1108068010002,185,-0.0938042848870282,124.41754756871,-432.337058290547,-492.616640217638,-512.909258329148,-181.977193538169,-75.258642765685,-622,-112,-133,-479,-413,-450,-334,-346
